,age,income,children,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES
0,0.61,0.22,0.33,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0.45,0.43,1.00,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
2,0.67,0.20,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
3,0.10,0.26,1.00,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
4,0.80,0.78,0.00,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
5,0.80,0.57,0.67,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
6,0.08,0.07,0.00,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
7,0.82,0.34,0.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
8,0.39,0.35,0.67,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
9,0.73,0.33,0.67,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
10,0.98,0.94,0.00,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
11,0.69,0.37,0.00,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
12,0.53,0.18,0.33,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
13,0.98,0.86,0.33,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
14,0.37,0.25,0.00,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
15,0.41,0.30,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
16,0.39,0.22,0.67,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
17,0.57,0.62,0.00,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
18,0.90,0.38,0.00,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
19,0.27,0.30,0.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
20,0.88,0.91,0.67,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
21,0.65,0.20,0.67,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
22,0.73,0.58,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
23,0.18,0.18,0.00,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
24,0.08,0.13,0.67,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0
25,0.78,0.62,0.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
26,0.55,0.27,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
27,0.43,0.26,0.33,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
28,0.43,0.42,1.00,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
29,0.88,0.33,0.33,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
30,0.88,0.31,0.67,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
31,0.04,0.19,0.67,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
32,0.55,0.32,0.33,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
33,0.31,0.43,1.00,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0
34,0.51,0.56,0.00,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
35,0.18,0.26,0.67,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
36,0.02,0.10,1.00,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
37,0.37,0.14,0.00,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1
38,0.51,0.23,0.00,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
39,0.98,0.35,0.67,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
40,0.76,0.37,0.00,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
41,0.59,0.38,0.00,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
42,1.00,0.87,0.67,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
43,0.29,0.39,0.00,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
44,0.04,0.15,0.67,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
45,0.94,0.82,0.67,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
46,0.65,0.14,0.33,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
47,0.22,0.14,0.67,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1
48,0.69,0.59,0.67,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
49,0.59,0.22,0.67,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
50,0.12,0.16,0.67,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0
51,0.37,0.32,0.00,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
